TaxonName_org,TaxonTSN_org,TaxonName_nsOnly,TaxonTSN_nsOnly,TaxonNotes_nsOnly,TaxonName_nsOnly_intres,TaxonTSN_nsOnly_intres,TaxonName_nsNint_maxres,TaxonTSN_nsNint_maxres,TaxonName_nsNint_intres,TaxonTSN_nsNint_intres,SpecSSPGroup,Phylum/Division,CommonName,Synonyms,Citation,DataEntryStatus,DataEntryNotes
Abothrium gadi,no TSN,,dropped,Not a lot of data (2 local hosts).,,dropped,,dropped,,dropped,worm,Platyhelminthes,parasitic cestode,,"Moles, Heintz. 2007. PARASITES OF FORAGE FISHES IN THE VICINITY OF STELLER SEA LION (EUMETOPIAS JUBATUS) HABITAT IN ALASKA. Journal of Wildlife Diseases. ",done,A few hosts listed
Acanthephyra chacei,96124,Acanthephyra,96113,"Much of the prey data is low-resolution, but there's enough pred and prey data to keep it in.",Acanthephyra,96113,Acanthephyra,96113,Acanthephyra,96113,shrimp,Arthropoda,shrimp,,OBISGBIF,done,"no species specific data, good prey data and some predator data for several congeners"
Acanthoica,2187,Prymnesiophyceae,2135,"No data for this genus, but lumping to family adds pred links.",Prymnesiophyceae,2135,Prymnesiophyceae,2135,Prymnesiophyceae,2135,phytoplankton,Haptophyta,haptophyte,,OBISGBIF,done,no data available
Acantholumpenus mackayi,171556,,dropped,Very little data after splitting prey,,dropped,,dropped,,dropped,fish,Chordata,prickleback,,OBISGBIF,done,"Some low-resolution prey data, no predator data available"
Acanthomysis stelleri,89871,Mysida,89855,"Sad to lump this order, but too many links lost by splitting.",Mysida,89855,Mysida,89855,Mysida,89855,shrimp,Arthropoda,mysid,"Exacanthomysis arctopacifica, Orientomysis stelleri",OBISGBIF,done,No species or genus-specific references; lots of prey and predator data for several genera within mysidacea
Acartia longiremis,86087,Acartia,86084,"All species within this genus eat benthic diatoms, dinoflagellates and phytoplankton. There is more complete prey data for congeners of A. longiremis than for the species itself. Much of the data on predators of Acartia is not species-specific.",,drop,Acartia,86084,,drop,copepod,Arthropoda,copepod,Dias longiremis,OBISGBIF,done,Good prey and predator data for this species and several others within the genus
Acartia tumida,86089,Acartia,86084,"No data for this species, but lots for congeners.",,drop,Acartia,86084,,drop,copepod,Arthropoda,copepod,,OBISGBIF,done,"No species-specific predator or prey data, but lots for several congeners"
Achnanthes,3429,Achnanthes,3429,,Bacillariophyta,2286,Achnanthes,3429,Bacillariophyta,2286,phytoplankton,Bacillariophyta,diatom,Achnanthidium,OBISGBIF,done,Some predator data
Acila empirensis,no TSN,Nuculidae,79123,"Most data for the family is for Nucula, which is superficially very similar to Acila.",Nuculidae,79123,Nuculidae,79123,Nuculidae,79123,clam,Mollusca,bivalve,,OBISGBIF,done,One prey entry (plankton); one predator for a congener
Acila gettysburgensis,no TSN,Nuculidae,79123,,Nuculidae,79123,Nuculidae,79123,Nuculidae,79123,clam,Mollusca,bivalve,,OBISGBIF,done,One prey entry (plankton); one predator for a congener
Acila shumardi,no TSN,Nuculidae,79123,,Nuculidae,79123,Nuculidae,79123,Nuculidae,79123,clam,Mollusca,bivalve,,OBISGBIF,done,One prey entry (plankton); one predator for a congener
Acmaea mitra,69662,Acmaea mitra,69662,Many more links if congeners included.,Acmaea mitra,69662,Acmaea mitra,69662,Acmaea mitra,69662,limpet,Mollusca,limpet,,OBISGBIF,done,good prey and predator list
Acmira lopezi,66751,Paraonidae,66659,,Paraonidae,66659,Paraonidae,66659,Paraonidae,66659,worm,Annelida,polychaete,,OBISGBIF,done,One prey entry (deposit feeder); no predator data available
Adelosebastes latens,643715,,dropped,No data for this species or genus.,,dropped,,dropped,,dropped,fish,Chordata,scorpionfish,,OBISGBIF,done,No data available
Admete viridula,205086,,dropped,Insufficient data.,,dropped,,dropped,,dropped,snail,Mollusca,gastropod,"Admete borealis, Admeta contabulata, Admete couthouyi, Admete crispa, Admete distincta, Admete laevior, Admete middendorffiana, Admete undata, Admete undatocostata, Cancellaria buccinoides, Cancellaria couthouyi",OBISGBIF,done,No prey data and one predator for this genus; a few prey references for a species of Cancellaria
Aequorea forskalea,50634,Hydrozoa,48739,"Some genus-specific data is lost, but lots of predator data lists only ""hydrozoa"".",Hydrozoa,48739,Hydrozoa,48739,Hydrozoa,48739,hydroid,Cnidaria,hydroid,Aequorea aequorea,OBISGBIF,done,Lots of low-resolution prey data for A. aequorea and a congener; one species-specific predator and a few more predators for a congener
Agarum,11246,Agarum,11246,Mediocre grazer data,Agarum,11246,Agarum,11246,Agarum,11246,brown alga,Phaeophyta,seaweed,,Intertidal web,done,
Aglantha digitale,719178,Hydrozoa,48739,"Some genus-specific data is lost, but lots of predator data lists only ""hydrozoa"".",Hydrozoa,48739,Hydrozoa,48739,Hydrozoa,48739,hydroid,Cnidaria,hydroid,"Aglantha conica, Aglantha digitalis, Circe rosea",NOAA World Ocean Database,done,Good prey data (for a hydroid); some predator data
Agnesia septentrionalis,159220,,drop,"Very little data for specific sessile tunicate species, but more predators listed for this class.",,drop,,drop,,drop,tunicate,Chordata,tunicate,"Agnezia septentrionalis, Agnesia beringia",OBISGBIF,done,One prey entry (plankton); no predator data
Alaria,11289,Alaria,11289,OK grazer data.,Alaria,11289,Alaria,11289,Alaria,11289,brown alga,Phaeophyta,seaweed,,Intertidal web,done,
Albatrossia pectoralis,165427,Albatrossia pectoralis,165427,All data for this genus is for A. pectoralis.,Albatrossia pectoralis,165427,Albatrossia pectoralis,165427,Albatrossia pectoralis,165427,fish,Chordata,grenadier,"Chalinura pectoralis, Coryphaenoides pectoralis, Dolloa pectoralis, Macrurus magnus, Macrurus pectoralis, Nematonurus pectoralis","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,"Lots of prey data, but much of it is low-resolution; one predator listed; additional pred and prey data for congeners of several synonym genera"
Alepisaurus ferox,162527,Alepisaurus ferox,162527,Most of the data for this genus is for A. ferox (great species-specific prey data).,Alepisaurus ferox,162527,Alepisaurus ferox,162527,Alepisaurus ferox,162527,fish,Chordata,lancetfish,"Alepidosaurus aesculapius, Alepidosaurus borealis, Alepidosaurus poeyi, Alepidosaurus serra, Alepisaurus altivelis, Alepisaurus azureus, Alepisaurus borealis, Alepisaurus richardsonii, Plagyodus aesculapius, P. borealis",OBISGBIF,done,Many prey and some predator data
Alosa sapidissima,161702,Alosa sapidissima,161702,Most links to local pred/prey species are for A. sapidissima,Alosa sapidissima,161702,Alosa sapidissima,161702,Alosa sapidissima,161702,fish,Chordata,shad,"Alosa praestabilis, Clupea indigena, Clupea sapidissima","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Great prey and predator data for this species and congener A. pseudoharengus (Atlantic species)
Ammodytes hexapterus,171672,Ammodytes hexapterus,171672,Tons of species-specific predator data; going to genus doesn't add much relevant prey data,Ammodytes hexapterus,171672,Ammodytes hexapterus,171672,Ammodytes hexapterus,171672,fish,Chordata,sand lance,,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Lots of species-specific predator and prey data and some additional prey data for some congeners
Ampelisca,93321,Gammaridea,93295,"Lumping to suborder increases pred links substantially. Also, there are a bunch of other genera in this suborder that are probably present off Sanak but have no distributional data to substantiate their inclusion in the list.",Gammaridea,93295,Gammaridea,93295,Gammaridea,93295,amphipod,Arthropoda,amphipod,,"Cadien. 2004. Ampeliscoidea of the NEP (Equator to Aleutians, intertidal to abyss): a review.",done,
Ampharete acutifrons,67735,Ampharetidae,67718,,Ampharetidae,67718,Ampharetidae,67718,Ampharetidae,67718,worm,Annelida,polychaete,"Ampharete cirrata, Amphicteis acutifrons, Branchiosabella zostericola",OBISGBIF,done,A few prey item for congeners of synonym Amphicteis (deposit feeder); a few predators listed for this species and some for congeners and congeners of synonym Amphicteis
Ampharete goesi,67734,Ampharetidae,67718,,Ampharetidae,67718,Ampharetidae,67718,Ampharetidae,67718,worm,Annelida,polychaete,,OBISGBIF,done,No species-specific predator or prey data; one prey item and a few predators listed for a congener
Amphictene,67694,Pectinariidae,67692,,Pectinariidae,67692,Pectinariidae,67692,Pectinariidae,67692,worm,Annelida,polychaete,,OBISGBIF,done,No data available
Amphiodia craterodmeta,157650,Ophiuroidea,157325,"A shame to lump these, there is some good data for a few species, but too much is lost by splitting.",Ophiuroidea,157325,Ophiuroidea,157325,Ophiuroidea,157325,star,Echinodermata,brittle star,Diamphiodia craterodmeta,OBISGBIF,done,One prey and a few predators for congeners
Amphiodia digitula,157661,Ophiuroidea,157325,"A shame to lump these, there is some good data for a few species, but too much is lost by splitting.",Ophiuroidea,157325,Ophiuroidea,157325,Ophiuroidea,157325,star,Echinodermata,brittle star,Amphiura leptopholida,OBISGBIF,done,One prey and a few predators for congeners and congeners of synonym Amphiura
Amphiophiura ponderosa,157387,Ophiuroidea,157325,"A shame to lump these, there is some good data for a few species, but too much is lost by splitting.",Ophiuroidea,157325,Ophiuroidea,157325,Ophiuroidea,157325,star,Echinodermata,brittle star,"Stegophiura ponderosa, Ophioglypha ponderosa, Ophiura ponderosa",OBISGBIF,done,No prey and a few predators for a congener and congeners of synonyms
Amphipholis squamata,157676,Ophiuroidea,157325,"A shame to lump these, there is some good data for a few species, but too much is lost by splitting.",Ophiuroidea,157325,Ophiuroidea,157325,Ophiuroidea,157325,star,Echinodermata,brittle star,"Amphioplus squamata, Amphipholis appressa, Amphipholis australiana, Amphipholis elegans, Amphipholis japonica, Amphipholis kinbergi, Amphipholis lineata, Amphipholis minor, Amphipholis tenera, Amphipholis tenuispina, Amphipholis tissieri, Amphiura elegans, Amphiura neglecta, Amphiura parva, Amphiura squamata, Amphiura tenera, Amphiura tenuispina, Asteria squamata, Asterias noctiluca, Asterias squamata, Ophiactis minor, Axiognathus squamata",OBISGBIF,done,Fair prey data for this species and a congener; one predator listed and a few more for congeners of synonyms
Amphiporus rubellus,57541,Nemertea,57411,"Prey data for this genus not great, many pred entries list only ""nemertea""",Nemertea,57411,Nemertea,57411,Nemertea,57411,worm,Nemertea,nemertean,,OBISGBIF,done,"No species-specific prey data, some prey data for a few congeners; few predators for this genus"
Amphiprora,4674,,dropped,Insufficient data.,Bacillariophyta,2286,,dropped,Bacillariophyta,2286,phytoplankton,Bacillariophyta,diatom,,OBISGBIF,done,No prey and few predators for this genus
Amphiura,157722,Ophiuroidea,157325,"A shame to lump these, there is some good data for a few species, but too much is lost by splitting.",Ophiuroidea,157325,Ophiuroidea,157325,Ophiuroidea,157325,star,Echinodermata,brittle star,,OBISGBIF,done,No prey and few predators for this genus
Anaitides groenlandica,65232,Phyllodocidae,65228,,Phyllodocidae,65228,Phyllodocidae,65228,Phyllodocidae,65228,worm,Annelida,polychaete,"Phyllodoce arctica, P. assimilis, P. badia, P. leutkeni",OBISGBIF,done,"No prey data and few predators, some additional predator data for congeners of synonym Phyllodoce spp.; species within Phyllodoce are detritovores"
Anaitides mucosa,65238,Phyllodocidae,65228,,Phyllodocidae,65228,Phyllodocidae,65228,Phyllodocidae,65228,worm,Annelida,polychaete,,OBISGBIF,done,No prey data and few predators
Anaitides papillosa,65254,Phyllodocidae,65228,,Phyllodocidae,65228,Phyllodocidae,65228,Phyllodocidae,65228,worm,Annelida,polychaete,Phyllodoce papillosa,OBISGBIF,done,"No prey data and few predators, some additional predator data for congeners of synonym Phyllodoce spp.; species within Phyllodoce are detritovores"
Anarhichas orientalis,171337,Anarhichas,171336,"Much of data is for congener A. lupus, which is similar in size and feeding morphology.",Anarhichas,171336,Anarhichas,171336,Anarhichas,171336,fish,Chordata,wolffish,"Anarrhichas lepturus, A. fasciatus","Hoff, Britt. 2009. Results of the 2008 Eastern Bering Sea Upper Continental Slope Survey of Groundfish and Invertebrate Resources. NOAA Technical Memorandum NMFS-AFSC-197.",done,"No species-specific prey data, but great data for a few congeners; a few predator entries, some additional predator data for congeners"
Anarrhichthys ocellatus,171345,Anarrhichthys ocellatus,171345,Prey data not great - lots lost with splitting of crustaceans and molluscs.,Anarrhichthys ocellatus,171345,Anarrhichthys ocellatus,171345,Anarrhichthys ocellatus,171345,fish,Chordata,wolf-eel,"Anarhichas ocellatus, Anarhichthys ocellatus, Anarrhichas felis",OBISGBIF,done,prey well-covered and a few predators covered
Anisakis,63864,Anisakis,63864,,Anisakis,63864,Anisakis,63864,Anisakis,63864,worm,Nematoda,parasitic nematode,,"Moles, Heintz. 2007. PARASITES OF FORAGE FISHES IN THE VICINITY OF STELLER SEA LION (EUMETOPIAS JUBATUS) HABITAT IN ALASKA. Journal of Wildlife Diseases. ",done,Excellent host data
Anisarchus medius,171620,,dropped,Insufficient data (all preds are birds),,dropped,,dropped,,dropped,fish,Chordata,eelblenny,"Clinus medius, Lumpenus medius",OBISGBIF,done,"a few predators, no prey data for this genus but some for congeners of synonyms"
Anomia,79796,,dropped,Insufficient data.,,dropped,,dropped,,dropped,bivalve,Mollusca,bivalve,,OBISGBIF,done,One prey entry (plankton); one predator listed
Anoplagonus inermis,167434,,dropped,,,dropped,,dropped,,dropped,fish,Chordata,alligatorfish,Aspidophoroides inermis,OBISGBIF,done,"No prey data and one predator listed for Anoplagonus, some additional data for the genus Aspidophoroides, but none for A. inermis"
Anoplopoma fimbria,167123,Anoplopoma fimbria,167123,,Anoplopoma fimbria,167123,Anoplopoma fimbria,167123,Anoplopoma fimbria,167123,fish,Chordata,sablefish,"Anoplopoma merlangus, Gadus fimbria, Scombrocottus salmoneus","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Both predators and prey very well-covered by several papers
Anthomastus,52030,Octocorallia,52004,Good data for this subclass.,Octocorallia,52004,Octocorallia,52004,Octocorallia,52004,octocoral,Cnidaria,anemone,,OBISGBIF,done,"A few prey covered, no predator data"
Antimora microlepis,164673,,dropped,"Most prey data lost from splitting crustaceans, only 2 local predators listed.",,dropped,,dropped,,dropped,fish,Chordata,flatnose,,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,No prey data; one predator and several predators for congener A. rostrata
Antipathes,51942,,dropped,Predator and prey data not very good for this genus - bad data all the way to subclass.,,dropped,,dropped,,dropped,anemone,Cnidaria,anemone,,OBISGBIF,done,One prey listed (plankton); no predator data available
Antiplanes,74778,,dropped,Insufficient data for this genus and family.,,dropped,,dropped,,dropped,whelk,Mollusca,gastropod,,OBISGBIF,done,No data available
Aphrocallistes vastus,47444,Porifera,46861,"very little data for this taxon; majority of sponge pred data is for ""porifera""; dropped to include Halichondria, Haliclona, Ophlitaspongia, for which there are decent data, in intertidal web",,drop,,drop,,drop,sponge,Porifera,sponge,Aphrocallistes whiteavesianus,OBISGBIF,done,One prey entry (plankton); no predator data available
Aphrodita aculeata,64366,Aphroditidae,64359,,Aphroditidae,64359,Aphroditidae,64359,Aphroditidae,64359,worm,Annelida,polychaete,"Aphrodita borealis, Aphrodita elliptica, Aphrodita nitens, Aphrodita subrotunda, Aphrodite aculeata, Aphroditella pallida, Eruca echinata, Halithea aurata, Halithea sericea, Hystrix marina, Milnesia nuda, Mus marinus, Vermis aureus",OBISGBIF,done,Little predator or prey data
Apistobranchus tullbergi,66778,,dropped,insufficient data,,dropped,,dropped,,dropped,worm,Annelida,polychaete,"Aricia tullbergi, Skardaria fragmentata",OBISGBIF,done,One prey entry (deposit feeder); a little predator data
Aplidium amaroucium,no TSN,Aplidium,159038,"Very little data for specific sessile tunicate species, but more predators listed for this class.",,drop,Aplidium,159038,,drop,tunicate,Chordata,tunicate,,OBISGBIF,done,One prey entry (plankton); some predator data for this genus
Aptocyclus ventricosus,167485,,drop,"Just not enough data for this lumpsucker, but keeping the pacific spiny lumpsucker (eumicrotremus)
",,drop,,drop,,drop,fish,Chordata,lumpsucker,"Cyclopterichthys glaber, Cyclopterichthys ventricosus, Cyclopterus stelleri, Cyclopterus ventricosus, Elephantichthys copeianus, Pelagocyclus vitiazi","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,No prey data and some predator data for this species
Aquilonaria turneri,70366,,dropped,No data for the genus; lumping to Littorinidae would eliminate detailed prey data for Lacuna and Littorina.,,dropped,,dropped,,dropped,snail,Mollusca,gastropod,Lacuna turneri,OBISGBIF,done,"No data available for this genus, some data for congeners of synonym Lacuna turneri"
Arcteobia anticostiensis,64421,Polynoidae,64397,,Polynoidae,64397,Polynoidae,64397,Polynoidae,64397,worm,Annelida,polychaete,Eupolynoe anticostiensis,OBISGBIF,done,No data available
Argeia pugettensis,93113,Bopyridae,93108,Additional data for some genera within this family.,Bopyridae,93108,Bopyridae,93108,Bopyridae,93108,isopod,Arthropoda,isopod,,OBISGBIF,done,Few prey and no predator data
Argis,97160,Crangonidae,97106,"Lots of links for the genus Crangon, which is superficially similar to Argis.",Crangonidae,97106,Crangonidae,97106,Crangonidae,97106,shrimp,Arthropoda,shrimp,,OBISGBIF,done,No prey data; good predator data
Argobuccinum oregonensis,no TSN,Buccinidae,73726,"Lumping to family adds a bunch of pred and prey data, although some detail is lost from the genera Buccinum and Neptunea. All true whelks are carnivores and scavengers, and most common spp. in database are similar in size.",Buccinidae,73726,Buccinidae,73726,Buccinidae,73726,whelk,Mollusca,gastropod,,OBISGBIF,done,No data available
Armandia brevis,67345,Opheliidae,67342,,Opheliidae,67342,Opheliidae,67342,Opheliidae,67342,worm,Annelida,polychaete,"Ammotrypane brevis, Ammotrypane multipapillata, Armandia bioculata",OBISGBIF,done,Few prey entries (deposit feeder/detritus); some predator data
Artediellus pacificus,167205,Artediellus,167201,,Artediellus,167201,Artediellus,167201,Artediellus,167201,fish,Chordata,sculpin,Blennicottus clarki,OBISGBIF,done,No species-specific prey data but some for the genus; a little predator data for congeners
Artedius fenestralis,167212,Artedius,167211,"Prey data pretty crappy for any given species, but better if lumped across genus; most pred data not species-specific",Artedius,167211,Artedius,167211,Artedius,167211,fish,Chordata,sculpin,Astrolytes fenestralis,OBISGBIF,done,Some low-resolution prey data; a few species-specific predators and some additional predators for this genus
Artedius harringtoni,167213,Artedius,167211,"Prey data pretty crappy for any given species, but better if lumped across genus; most pred data not species-specific",Artedius,167211,Artedius,167211,Artedius,167211,fish,Chordata,sculpin,"Axyrias harringtoni, Pterygiocottus macouni",OBISGBIF,done,Some low-resolution prey data; a few species-specific predators and some additional predators for this genus
Artedius lateralis,167214,Artedius,167211,"Prey data pretty crappy for any given species, but better if lumped across genus; most pred data not species-specific",Artedius,167211,Artedius,167211,Artedius,167211,fish,Chordata,sculpin,Scorpaenichthys lateralis,OBISGBIF,done,"Some low-resolution prey data; no species-specific predators, but some for this genus"
Arthrogorgia utinomii,719228,Octocorallia,52004,Good data for this subclass.,Octocorallia,52004,Octocorallia,52004,Octocorallia,52004,octocoral,Cnidaria,gorgonian,,OBISGBIF,done,One prey entry (plankton); no predator data available
Asabellides sibirica,67785,Ampharetidae,67718,,Ampharetidae,67718,Ampharetidae,67718,Ampharetidae,67718,worm,Annelida,polychaete,"Asabellides littoralis, Asabellides orientalis, Neosabellides alaskensis, Pseudosabellides littoralis, Sabellides sibirica",OBISGBIF,done,One prey item (plankton); a few predators for this genus
Aspidophoroides bartoni,167436,Aspidophoroides,167435,Members of this genus that have data are similar in size and habitat.,Aspidophoroides,167435,Aspidophoroides,167435,Aspidophoroides,167435,fish,Chordata,alligatorfish,,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,"Some species-specific low-resolution prey data, lots of additional data for several congeners; some species-specific predators listed"
Asterias amurensis,157216,Asterias,157215,"More data for congener A. vulgaris, which is similar in size and habits.",Asterias,157215,Asterias,157215,Asterias,157215,star,Echinodermata,seastar,"Allasterias migrata, Asterias acurvispinis, Asterias flabellifera, Asterias gracilispinis, Asterias latissima, Asterias pectinata, Asterias rubens, Parasterias albertensis",OBISGBIF,done,A few species-specific prey and a lot of other prey data for several congeners; a little predator data for some congeners
Astrometis sertulifera,157264,,dropped,Insufficient data.,,dropped,,dropped,,dropped,star,Echinodermata,seastar,"Aphanasterias pycnopodia, Asterias forreri, Asterias sertulifera, Astrometis californica, Orthasterias dawsoni, Orthasterias gonolena",OBISGBIF,done,Some prey data for this species and some predator data for congeners of synonyms
Atelecyclidae,98661,,dropped,Insufficient data for this family.,,dropped,,dropped,,dropped,crab,Arthropoda,crab,,OBISGBIF,done,No data available (check genera within the family)
Aulacofusus brevicauda,no TSN,Buccinidae,73726,"Lumping to family adds a bunch of pred and prey data, although some detail is lost from the genera Buccinum and Neptunea. All true whelks are carnivores and scavengers, and most common spp. in database are similar in size.",Buccinidae,73726,Buccinidae,73726,Buccinidae,73726,whelk,Mollusca,gastropod,Colus spitzbergen,OBISGBIF,done,"Some genera prey data, one predator record for a congener"
Aulorhynchus flavidus,166404,,dropped,insufficient data,,dropped,,dropped,,dropped,fish,Chordata,tube-snout,,OBISGBIF,done,"No prey, few predators"
Autolytus,65588,Syllidae,65587,,Syllidae,65587,Syllidae,65587,Syllidae,65587,worm,Annelida,polychaete,Myrianida,OBISGBIF,done,One prey entry (hydrozoa); no predator data available
Bacteria,202421,Bacteria,202421,Good pred data.,Bacteria,202421,Bacteria,202421,Bacteria,202421,bacteria,Bacteria,bacteria,,Sellheim,done,
Balaena mysticetus,180533,Balaena mysticetus,180533,,Balaena mysticetus,180533,Balaena mysticetus,180533,Balaena mysticetus,180533,mammal,Chordata,whale,Balaenoptera physalis?,American Cetacean Society,done,"Good prey data from a single paper, one predator listed (probably few natural predators)"
Balaenoptera acutorostrata,180524,Balaenoptera,180523,Lump to Balaenoptera,Balaenoptera,180523,Balaenoptera,180523,Balaenoptera,180523,mammal,Chordata,whale,"Agaphelus gibbosus, Balaena gibbosa, Balaena microcephala, Balaena minima, Balaena rostrata, Balaenoptera acuturostrata,Balaenoptera davidsoni, Balaenoptera eschrichtius, Balaenoptera microcephala, Balaenoptera rostrata, Balaenoptera thalmaha, Pterobalaena minor, Pterobalaena nana, Pterobalaena pendactyla, Rorqualus minor, Sibbaldius mondinii",OBISGBIF,done,"Good prey coverage, few predators known (humans and orcas only)"
Balaenoptera physalus,180527,Balaenoptera,180523,Lump to Balaenoptera - insufficient data for this species and prey taxa are similar for congeners.,Balaenoptera,180523,Balaenoptera,180523,Balaenoptera,180523,mammal,Chordata,whale,"Balaena antipodarum, Balaena antiquorum,Balaena boops, Balaena mysticetus, Balaena physalus, Balaena quoyi, Balaena rostrata, Balaena sulcata, Balaenoptera antarctica, Balaenoptera aragous, Balaenoptera australis, Balaenoptera blythii, Balaenoptera brasiliensis, Balaenoptera gibbar, Balaenoptera mediterraneensis, Balaenoptera musculus, Balaenoptera patachonica, Balaenoptera patachonicus, Balaenoptera patagonica, Balaenoptera quoyii, Balaenoptera rorqual, Balaenoptera sulcata, Balaenoptera swinhoii, Balaenoptera tenuirostris, Balaenoptera velifera, Balaenopteris guibusdam, Benedenia knoxii, Dubertus rhodinsulensis, Physalis vulgaris, Physalus antarcticus, Physalus australis, Physalus brasiliensis, Physalus dugundii, Physalus fasciatus, Physalus patachonicus, Physalus verus, Pterobalaena communis, Pterobalaena gigantea, Rorqualus musculus, Sibbaldius tectirostris, Sibbaldius tuberosus, Swinhoia chinensis",OBISGBIF,done,"Fair prey coverage (lots of records of prey of congeners), few predators known"
Balanus crenatus,89606,Balanus crenatus,89606,Much more complete pred data and more prey data if lumped to genus,Balanus crenatus,89606,Balanus crenatus,89606,Balanus crenatus,89606,barnacle,Arthropoda,barnacle,,OBISGBIF,done,Good predator and prey data
Balanus nubilus,656266,Balanus nubilus,656266,Much more complete pred data and more prey data if lumped to genus,Balanus nubilus,656266,Balanus nubilus,656266,Balanus nubilus,656266,barnacle,Arthropoda,barnacle,,OBISGBIF,done,Good predator and prey data
Balcis,72510,,dropped,Insufficient data for this genus and family.,,dropped,,dropped,,dropped,snail,Mollusca,gastropod,,OBISGBIF,done,No data available
Balticina californica,52407,Octocorallia,52004,Good data for this subclass.,Octocorallia,52004,Octocorallia,52004,Octocorallia,52004,octocoral,Cnidaria,anemone,Pavonaria californica,OBISGBIF,done,One prey entry (plankton); no predator data available
Bangia,11531,Bangia,11531,Insufficient data.,Bangia,11531,Bangia,11531,Bangia,11531,red alga,Rhodophyta,seaweed,,Intertidal web,done,"Wikipedia says this genus occurs ""subtidally to the maximum depth at which benthic algae occur"""
Bathyagonus alascanus,167448,,dropped,All data for Bathyagonus is for B. nigripinnis,,dropped,,dropped,,dropped,fish,Chordata,starsnout,"Asterotheca alascana, Xenertmus alascanus, Xenochirus alascanus",OBISGBIF,done,Some low-resolution prey data and one predator listed for congener B. nigripinnis
Bathyagonus infraspinatus,167449,,dropped,All data for Bathyagonus is for B. nigripinnis,,dropped,,dropped,,dropped,fish,Chordata,starsnout,"Asterotheca infraspinata, Xeneretmus infraspinatus",OBISGBIF,done,Some low-resolution prey data and one predator listed for congener B. nigripinnis
Bathyagonus nigripinnis,167445,Bathyagonus nigripinnis,167445,"Data is mediocre (3 pred, 1 prey)",Bathyagonus nigripinnis,167445,Bathyagonus nigripinnis,167445,Bathyagonus nigripinnis,167445,fish,Chordata,poacher,,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,"Some low-resolution prey data, one predator listed"
Bathyglycinde,no TSN,Goniadidae,66126,,Goniadidae,66126,Goniadidae,66126,Goniadidae,66126,worm,Annelida,polychaete,,OBISGBIF,done,No data available
Bathylagus pacificus,162086,Bathylagus,162081,"Congener data is for spp. of similar size and habits, some pred data is not species-specific.",Bathylagus,162081,Bathylagus,162081,Bathylagus,162081,fish,Chordata,smelt,,OBISGBIF,done,Fairly good prey data for two congeners; a little species-specific predator data and some more for congeners
Bathymaster caeruleofasciatus,170947,Bathymaster,170946,,Bathymaster,170946,Bathymaster,170946,Bathymaster,170946,fish,Chordata,ronquil,,OBISGBIF,done,Some low-resolution prey data and a little predator data for congener B. signatus
Bathymaster leurolepis,170948,Bathymaster,170946,,Bathymaster,170946,Bathymaster,170946,Bathymaster,170946,fish,Chordata,ronquil,,OBISGBIF,done,Some low-resolution prey data and a little predator data for congener B. signatus
Bathymaster signatus,170949,Bathymaster,170946,"Most data is for this species, but lumping adds a few links.",Bathymaster,170946,Bathymaster,170946,Bathymaster,170946,fish,Chordata,searcher,,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Some good low-resolution prey data and some predator data 
Bathypathes alternata,no TSN,,dropped,Predator and prey data not very good for this genus - bad data all the way to subclass.,,dropped,,dropped,,dropped,anemone,Cnidaria,anemone,,OBISGBIF,done,One prey entry (plankton); no predator data available
Bathypathes patula,51979,,dropped,Predator and prey data not very good for this genus - bad data all the way to subclass.,,dropped,,dropped,,dropped,anemone,Cnidaria,anemone,,OBISGBIF,done,One prey entry (plankton); no predator data available
Bathyraja aleutica,160935,Bathyraja aleutica,160935,,Bathyraja aleutica,160935,Bathyraja aleutica,160935,Bathyraja aleutica,160935,fish,Chordata,skate,Raja aleutica,OBISGBIF,done,Good prey data; only one species-specific predator entry but several predators of skates recorded 
Bathyraja interrupta,160937,Bathyraja interrupta,160937,,Bathyraja interrupta,160937,Bathyraja interrupta,160937,Bathyraja interrupta,160937,fish,Chordata,skate,"Bathyraja kincaidi, Bathyraja kincaidii, Raia interrupta, Raia kincaidii, Raja interrupta, Raja kincaidi, Raja kincaidii, Rhinoraja interrupta","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Good prey data for this species (more data for synonyms); only a few species-specific predator entries but several predators of skates recorded
